,A.3 Total Costs,A.3 Total Costs,A.3 Total Costs,A.3 Total Costs,A.3 Total Costs,A.3_Expected Number of Deaths,A.3_Expected Number of Deaths,A.3_Expected Number of Deaths,A.3_Expected Number of Deaths,A.3_Expected Number of Deaths,RfR Total Costs,RfR Total Costs,RfR Total Costs,RfR Total Costs,RfR Total Costs,Expected Evacuation Costs,Expected Evacuation Costs,Expected Evacuation Costs,Expected Evacuation Costs,Expected Evacuation Costs
,mean,min,max,q05,q95,mean,min,max,q05,q95,mean,min,max,q05,q95,mean,min,max,q05,q95
policy,,,,,,,,,,,,,,,,,,,,
policy 1,402747475.29859,0.0,2482597256.5189548,0.0,2115483844.4006858,0.7090585601409637,0.0,3.707752658244389,0.0,3.6527126015653892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
policy 10,245249199.56917045,0.0,2371299830.3906636,0.0,1527569922.981195,0.4185777178810398,0.0,3.432326379909892,0.0,3.0936749405767054,30700000.0,30700000.0,30700000.0,30700000.0,30700000.0,0.0,0.0,0.0,0.0,0.0
policy 11,245249199.56917045,0.0,2371299830.3906636,0.0,1527569922.981195,0.4185777178810398,0.0,3.432326379909892,0.0,3.0936749405767054,30700000.0,30700000.0,30700000.0,30700000.0,30700000.0,0.0,0.0,0.0,0.0,0.0
policy 12,245249199.56917045,0.0,2371299830.3906636,0.0,1527569922.981195,0.4185777178810398,0.0,3.432326379909892,0.0,3.0936749405767054,30700000.0,30700000.0,30700000.0,30700000.0,30700000.0,0.0,0.0,0.0,0.0,0.0
policy 2,43979999.00701195,28798397.130608946,388144295.9151925,28798397.130608946,44953715.631002136,0.0339056523501509,0.0,0.8156465548515797,0.0,0.025595803121754315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
policy 3,44215020.369581826,44215020.369581826,44215020.369581826,44215020.369581826,44215020.369581826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
policy 4,503635277.3388151,0.0,2484053459.6946893,0.0,2115483844.4006858,0.874567994402994,0.0,3.707752658244389,0.0,3.6555326548746994,84600000.0,84600000.0,84600000.0,84600000.0,84600000.0,0.0,0.0,0.0,0.0,0.0
policy 5,503635277.3388151,0.0,2484053459.6946893,0.0,2115483844.4006858,0.874567994402994,0.0,3.707752658244389,0.0,3.6555326548746994,84600000.0,84600000.0,84600000.0,84600000.0,84600000.0,0.0,0.0,0.0,0.0,0.0
policy 6,503635277.3388151,0.0,2484053459.6946893,0.0,2115483844.4006858,0.874567994402994,0.0,3.707752658244389,0.0,3.6555326548746994,84600000.0,84600000.0,84600000.0,84600000.0,84600000.0,0.0,0.0,0.0,0.0,0.0
policy 7,502328724.1221151,0.0,2484053459.6946893,0.0,2115483844.4006858,0.8723815770542553,0.0,3.707752658244389,0.0,3.6555326548746994,217800000.0,217800000.0,217800000.0,217800000.0,217800000.0,0.0,0.0,0.0,0.0,0.0
policy 8,502328724.1221151,0.0,2484053459.6946893,0.0,2115483844.4006858,0.8723815770542553,0.0,3.707752658244389,0.0,3.6555326548746994,217800000.0,217800000.0,217800000.0,217800000.0,217800000.0,0.0,0.0,0.0,0.0,0.0
policy 9,502328724.1221151,0.0,2484053459.6946893,0.0,2115483844.4006858,0.8723815770542553,0.0,3.707752658244389,0.0,3.6555326548746994,217800000.0,217800000.0,217800000.0,217800000.0,217800000.0,0.0,0.0,0.0,0.0,0.0
