,A.3_Expected Number of Deaths,A.3_Expected Number of Deaths,A.3_Expected Number of Deaths,A.3_Expected Number of Deaths,A.3_Expected Number of Deaths,Total Deaths,Total Deaths,Total Deaths,Total Deaths,Total Deaths,Total Costs
,mean,min,max,q05,q95,mean,min,max,q05,q95,mean
policy,,,,,,,,,,,
Policy_Dike_0dm_RfR_20_EWS_0d,0.7413877982501947,0.0,3.6744016827341577,0.0,3.569301848973726,1.7330623002038628,0.03257615744556036,6.029204693984795,0.18014264515275255,4.055579358946507,1816914806.9696088
Policy_Dike_0dm_RfR_20_EWS_4d,0.08896653579002337,0.0,0.4409282019280989,0.0,0.4283162218768471,0.20796747602446353,0.003909138893467242,0.7235045632781754,0.021617117418330303,0.48666952307358097,1816973360.9226007
Policy_Dike_0dm_RfR_21_EWS_0d,0.4183869231236906,0.0,3.3736834973928493,0.0,3.2163811524347263,1.3927177609176113,0.018099795279050777,5.96560285132438,0.12809062364384605,3.474850143073552,1652229799.6498537
Policy_Dike_0dm_RfR_21_EWS_4d,0.05020643077484287,0.0,0.40484201968714195,0.0,0.3859657382921671,0.16712613131011336,0.0021719754334860934,0.7158723421589257,0.015370874837261524,0.4169820171688264,1652277397.2398474
Policy_Dike_10dm_RfR_20_EWS_0d,0.00018390697065214081,0.0,0.7349204301100596,0.0,0.0,1.0177254521511747,0.005406029520174688,3.3059363295538584,0.07273586220212339,2.092183280134137,1466899436.3048813
Policy_Dike_10dm_RfR_20_EWS_4d,2.20688364782569e-05,0.0,0.08819045161320717,0.0,0.0,0.12212705425814095,0.0006487235424209626,0.39671235954646306,0.008728303464254808,0.25106199361609643,1466935269.9998496
Policy_Dike_10dm_RfR_21_EWS_0d,5.035294936624531e-05,0.0,0.18886607112338577,0.0,0.0,0.9910686627762654,0.001905054799084836,3.081765161686535,0.0635305917328648,2.0667551003798206,1470041560.1376371
Policy_Dike_10dm_RfR_21_EWS_4d,6.0423539239494365e-06,0.0,0.02266392853480629,0.0,0.0,0.11892823953315185,0.0002286065758901803,0.3698118194023843,0.0076236710079437735,0.24801061204557853,1470075633.8473778
